Value of x  ,  Value of y  
2.11227 , 0.654676
1.60806 , 1.64101
0.287918 , 2.15915
-0.718945 , 1.41747
0.599946 , 3.28091
-1.27172 , 1.22515
1.86633 , 2.38714
-0.0325764 , 1.30819
0.641796 , 1.30035
-0.113812 , 0.678641
1.04745 , 2.24417
1.84485 , -0.529851
3.22414 , 1.39271
0.993583 , 1.4728
0.250164 , 1.98068
1.15423 , 2.5565
0.772023 , 1.89464
-0.328406 , 0.0954844
1.05419 , 0.13704
-0.0620372 , 1.56323
1.78689 , 0.695298
0.93045 , 0.281612
-0.704961 , 1.29053
0.358981 , 2.33681
1.15559 , 3.08178
1.03859 , 0.437511
0.894486 , 1.73065
1.31924 , 1.16373
0.108877 , 1.98543
2.31713 , -0.373329
1.50562 , 0.10098
0.840648 , 2.01119
1.97399 , 0.498025
0.757638 , 1.35176
-0.0740049 , 2.33978
1.52894 , 1.10271
1.39698 , 1.90516
0.888914 , 1.77923
0.605197 , 2.22358
1.2645 , 1.59007
0.907702 , -0.49799
2.94076 , 0.0639235
1.79944 , -0.463512
2.01151 , 0.319033
0.709931 , -0.499969
0.165918 , 0.402693
2.41749 , -1.09693
0.971759 , 2.61462
2.53808 , 0.0259131
2.33881 , 0.296014
0.2364 , 0.00677502
1.49395 , -0.494249
0.296089 , 1.4701
0.649422 , 1.27471
0.306178 , 1.50621
0.337934 , 1.0319
0.327737 , 0.460308
1.83392 , 1.6515
1.07581 , 1.22632
1.68766 , 2.28073
1.03935 , 0.178735
0.841038 , 2.31719
1.43827 , 2.52775
1.3592 , -0.222799
-0.119531 , 0.640049
-1.05442 , 1.76524
3.23058 , -0.331783
1.29759 , 0.364197
1.19277 , 2.60995
1.20383 , 1.99999
2.35382 , 1.70426
1.0697 , 1.06182
3.09466 , 0.965589
0.651099 , 1.34265
1.74668 , -0.256651
1.61605 , -0.288742
2.15381 , -0.0532368
0.278001 , -0.132493
0.355574 , 1.20138
-0.192861 , 1.65237
1.01096 , 1.48363
-0.750443 , 1.36692
1.33819 , 0.40355
0.24537 , 3.44887
1.66529 , 0.926508
0.562989 , 1.92846
-0.689422 , 2.073
1.62338 , 0.502208
3.0324 , 0.802527
0.821452 , -0.927839
1.57709 , 0.136239
1.11611 , 0.562391
0.259606 , 2.68695
2.41395 , 2.11889
0.47997 , -0.072745
2.36178 , 2.58709
2.19353 , 0.112206
1.64953 , 0.195545
1.53103 , 1.23309
1.79507 , -0.260305
1.06831 , 0.131741
0.641154 , 1.56543
1.27922 , 0.390547
0.174271 , 0.706012
2.51489 , 2.84123
1.97505 , -0.236529
1.95666 , 0.265872
0.4342 , -0.0304122
1.98357 , 0.493717
-0.317465 , 0.731676
2.02553 , 1.77078
0.260261 , 1.36276
0.438615 , 2.32543
1.39898 , 0.673191
2.42192 , 1.23262
0.718198 , 1.56292
0.933207 , 3.74215
0.241971 , 0.491815
2.12341 , 0.976578
0.876694 , 2.18407
0.964045 , -0.86764
0.0442544 , 1.55081
1.42473 , 0.326296
3.50413 , 0.815952
1.7618 , 1.50523
0.391097 , 0.473897
0.995896 , -0.054027
0.0591098 , 0.637031
0.800727 , 1.49126
1.76498 , 1.22865
1.40139 , 1.3791
0.949932 , -1.10483
-0.0874517 , 2.63449
1.6568 , -0.454326
0.212146 , 1.29575
0.103071 , -0.392265
0.732879 , 0.352293
0.882594 , 1.70195
1.56053 , -0.573119
1.72633 , 2.19774
0.95498 , -0.227179
1.8819 , 1.28933
1.08858 , -0.460852
2.59221 , -1.04143
2.15382 , 0.630668
-0.146073 , 0.220093
2.35156 , 1.81705
1.6998 , 1.67782
0.653818 , 0.353461
1.67916 , 1.41062
0.380495 , 0.930064
-0.468767 , 0.867377
0.183294 , 0.761164
-0.293842 , 2.02548
1.25432 , 0.696975
0.776095 , 2.48726
2.8318 , 0.452208
0.0360821 , 1.22684
3.49572 , 1.94894
2.18544 , -0.722228
0.664954 , 1.66546
0.909138 , -0.281247
3.3766 , 1.55765
2.69231 , 2.36887
0.489504 , 1.63214
0.897361 , -0.542441
1.84835 , 0.456958
0.674483 , 1.86225
0.473271 , 2.06499
1.09124 , 0.734186
0.276058 , 1.83058
1.4041 , 2.07824
0.292463 , -0.0289439
-0.242314 , 1.46258
0.277678 , 1.32317
1.91435 , 1.71092
-0.288773 , 0.575012
-0.823213 , 0.347319
-0.348927 , 0.427082
1.11455 , -0.204124
1.03448 , 0.697841
-0.488894 , -0.464625
0.114445 , 2.0804
-0.281798 , 1.80079
1.10131 , 1.81252
1.58672 , 1.97726
2.12784 , -0.0719776
1.11601 , 2.21044
2.27219 , 2.5326
1.46367 , -1.48654
0.134691 , 2.37391
2.02767 , 1.60528
0.57736 , 1.17985
-0.186035 , 1.45165
2.75724 , 1.59508
0.11891 , -0.0786439
1.3976 , 1.91502
-0.0430397 , 0.481012
1.35026 , 1.79329
2.08208 , -0.31829
1.12704 , 0.896483
-0.228323 , 1.0124
1.95538 , 1.51015
0.200318 , 2.56228
2.07894 , 1.13862
1.10529 , 1.19056
1.0869 , 1.73217
0.682822 , 3.98108
2.24336 , 1.37402
1.46275 , 0.813714
1.99573 , 1.23717
1.68455 , 2.28852
1.63205 , 1.67678
-0.483983 , 1.65298
0.888298 , -0.263834
1.31469 , 1.38881
1.82701 , 1.36452
-0.381291 , 2.7674
2.13565 , 2.70644
1.12821 , -0.169383
1.0776 , 0.541384
2.89772 , 1.17144
2.27403 , 1.05764
-0.00945914 , 0.973444
1.01462 , 0.362141
2.1889 , 0.563771
3.09735 , 0.27053
-0.082957 , 0.735595
-0.474851 , 0.456431
1.30474 , 2.29361
3.14407 , -0.381042
0.991493 , 1.18607
2.70378 , 2.17743
0.314271 , 0.307314
1.20436 , 1.66453
2.68899 , 0.736309
0.798736 , 2.14848
1.33437 , 1.22371
-1.02605 , 1.44729
-0.509851 , 0.879321
1.63988 , 0.951874
-0.329092 , 0.823643
1.73479 , 1.69867
1.41327 , 0.752499
-0.680969 , 0.0241202
3.00573 , 2.79664
1.47015 , -0.189061
0.650429 , -1.21893
1.23879 , 1.64635
-0.305039 , 1.4806
0.494284 , -0.203844
2.73944 , 2.10041
2.67537 , 1.9142
0.325753 , 1.09304
1.38226 , -0.546474
1.51947 , 2.38636
-0.268328 , 0.798197
0.939723 , 2.44924
1.09645 , 1.32312
0.199776 , 0.519139
1.86638 , 0.696312
1.42306 , 1.26229
0.812334 , -0.760852
1.96476 , 1.32502
1.19631 , 1.38114
0.152582 , 0.416028
0.496008 , 0.550235
1.43798 , -0.124279
0.546872 , 0.669318
0.459137 , 3.10584
1.17655 , 0.336233
-1.48714 , 0.916458
0.463353 , -0.750226
0.818148 , 1.29302
1.28313 , -0.323499
0.509869 , 0.928204
1.72103 , 1.58202
0.461357 , 1.02732
-0.0923531 , 1.59098
2.21057 , -0.0445225
1.80227 , 1.30231
0.855576 , 0.590162
1.6101 , 1.6939
2.16002 , 2.062
1.61736 , 0.714282
2.03078 , 0.175032
1.5105 , 0.486921
1.12169 , 0.403548
0.606447 , 0.440354
1.12718 , 0.369305
0.7866 , -0.675697
1.31273 , -0.190243
3.54021 , 0.289898
1.81323 , 3.52194
1.74105 , 0.112393
-0.361772 , 1.77138
1.02762 , 0.650324
1.56096 , 0.801815
-0.447772 , 1.11132
0.164813 , -0.626531
2.3673 , 2.10304
0.589256 , -0.674385
2.23783 , -0.0180407
0.245262 , 1.68529
-0.125063 , 1.85383
2.07154 , 1.30638
-0.229885 , 2.15712
1.09217 , 2.19552
0.141836 , 0.162509
0.205948 , 1.02676
1.88056 , 1.25167
1.12717 , 2.31674
-0.387502 , -0.245384
0.801342 , 0.994884
-0.0286409 , 2.03434
2.33465 , 1.03089
0.9371 , 0.184502
-0.383439 , 0.926795
0.730554 , 0.83458
2.52124 , 1.80066
1.1238 , 0.887507
0.84875 , 2.61786
1.52654 , 2.58379
1.15691 , 1.27205
0.847026 , 1.10902
0.20195 , 0.0758248
1.94837 , 0.143664
1.21761 , 0.663547
-0.0604969 , 2.28806
-0.502538 , -1.2667
2.148 , -0.311884
1.27007 , 0.00556827
0.290242 , 0.793205
0.119408 , 1.3878
1.39114 , -0.371672
3.04301 , 1.35058
0.847808 , 1.35946
1.31908 , 0.550406
0.437822 , 1.01819
0.5373 , -0.325308
0.830644 , -0.215491
-0.795396 , 0.379776
-0.0636904 , 0.891715
2.0418 , 1.67287
1.11009 , -0.312759
-0.675745 , 2.43917
1.96428 , 2.39574
1.98244 , -1.32776
2.2458 , 1.30014
2.24488 , 0.458573
0.764027 , 0.195839
2.21987 , 0.55367
1.02585 , 1.04538
1.28156 , 1.2672
2.39432 , 1.87915
1.30173 , 3.33063
1.08278 , 3.71688
2.44232 , 1.56187
0.348364 , 1.59444
1.70342 , 1.48078
-0.0255936 , 1.5411
0.684255 , 0.334063
0.845666 , -0.752835
0.0947052 , 0.360052
1.15376 , 1.436
-0.531038 , 1.03807
0.239842 , 0.563723
1.83744 , 2.98381
1.47494 , 0.660212
2.46714 , 2.09076
1.43841 , 1.41263
2.34388 , 2.74783
1.72381 , 1.75309
0.794513 , 0.596813
-0.0932744 , 0.522473
0.0244677 , -1.07738
1.27801 , 0.247491
0.616335 , 1.81326
1.23344 , 0.141248
1.75291 , 1.61486
-0.266156 , -0.666164
0.3012 , -0.505222
1.1563 , 0.322732
1.89339 , 0.849153
1.7621 , 1.34953
-1.47817 , -0.786198
0.26706 , 0.0268888
-0.524273 , 1.46054
0.617354 , 0.280399
2.65876 , 0.868037
0.936047 , -0.391415
0.417751 , 0.112046
0.39125 , 1.88933
2.07106 , 2.33465
1.43473 , 3.02122
0.86681 , 2.28081
1.59552 , 1.32166
0.606589 , -0.272881
1.25882 , 0.735583
2.17792 , -0.194877
-1.1099 , 1.44895
0.354683 , 3.11836
2.77864 , 0.672831
1.01512 , 0.818401
0.387929 , 0.184041
2.83269 , 0.470176
-0.216541 , 1.7064
-0.18266 , 0.365493
1.52736 , -1.70402
0.854145 , 0.580989
1.17934 , -0.819618
-0.0956285 , 0.517878
0.804379 , 2.13437
1.67001 , 2.04724
0.679964 , -0.0123429
0.831219 , 0.0885736
1.08832 , 1.41141
0.544353 , 1.40473
-0.608781 , 0.101662
-1.40146 , 2.75284
0.487953 , 0.910051
0.385442 , 0.455513
2.28966 , 1.56884
0.215144 , 0.929108
-1.32626 , -0.0239066
1.34597 , 2.14002
1.29306 , -0.377978
2.04274 , 1.5934
0.494927 , -1.34865
0.804872 , 1.59304
1.00343 , 0.806741
0.124158 , 0.402126
1.74093 , -0.38353
2.3117 , 0.115995
1.67462 , 0.610397
1.57776 , 2.91997
1.4441 , 1.12037
2.95506 , 0.0476686
0.795186 , 1.63939
0.533584 , 0.726032
1.91595 , 0.364229
0.191375 , 1.59159
1.33275 , 1.65427
-0.0883123 , 1.46858
1.38297 , 1.80661
-0.72792 , 1.36794
0.681082 , 1.30396
0.741866 , 0.639304
0.853381 , 2.1179
3.22308 , -0.881536
0.879992 , 1.48298
0.538055 , 0.557274
-0.296104 , 0.283154
1.70447 , 1.21583
-0.542248 , 2.34041
1.33695 , -1.34826
1.0184 , 2.94541
1.93152 , 2.51024
1.04912 , 1.96526
-0.135211 , 1.76967
2.75625 , 0.720795
1.50413 , 0.434452
-0.238825 , -0.176192
1.48167 , -0.110674
-0.0646576 , 0.757769
-0.285527 , 0.487461
1.33295 , 0.556192
2.66641 , 1.20768
1.15374 , -0.63815
-0.512658 , 1.22931
-0.46578 , 0.541114
2.70267 , 0.835398
0.10794 , 0.919972
1.80177 , -0.336753
0.100954 , 0.300341
-1.20965 , -0.787843
-0.680226 , 1.73651
2.06579 , 1.0421
1.1652 , 1.05384
2.26021 , 0.534515
1.17702 , -1.02358
